short_name,player_positions,overall,potential,wage_eur,age,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,value_eur
N. Gießelmann,"LB, LWB",69,69,13000,29,2025,Germany,Left,2,3,2200000,66,52,64,65,66,74,68,44,60,66,53,62,65,69,62,66,67,65,67,67,67,66,83,76,74,56,71,66,57,56,54,68,65,67,68,10,13,10,14,7,0,1200000
C. Paterson,"ST, CM, RW",69,71,4000,26,2023,Scotland,Right,3,3,3100000,70,66,62,62,66,83,70,67,78,58,70,58,48,32,62,66,65,74,63,70,59,72,93,77,85,61,85,62,72,70,46,61,64,66,64,7,10,12,16,11,0,1700000
C. Nielsen,"CM, CAM, CDM",69,70,8000,27,2024,Denmark,Right,3,3,2400000,73,65,70,70,61,70,66,63,55,72,62,69,66,71,71,71,74,73,74,66,72,69,65,80,66,68,70,63,67,69,55,71,62,61,56,12,12,12,11,13,0,1600000
J. Lopez,"LW, LM, RM",69,69,5000,29,2022,Algeria,Right,2,3,2500000,82,61,64,72,40,56,65,63,47,65,52,72,68,64,60,69,86,79,86,68,82,61,60,67,56,58,40,33,67,64,48,64,35,44,45,16,14,13,11,10,0,1400000
E. Saveljich,CB,69,69,9000,30,2023,Montenegro,Right,3,2,2400000,45,32,46,43,69,80,30,28,66,61,27,37,34,35,57,51,39,50,29,63,31,47,63,69,88,27,77,69,31,31,43,62,69,72,60,12,12,10,14,15,0,1100000
K. Roos,GK,69,69,6000,29,2022,Netherlands,Right,4,1,1800000,50,50,50,50,50,50,14,15,13,28,19,16,17,15,20,20,45,38,35,62,38,55,60,43,68,18,20,19,14,42,23,44,9,18,21,72,63,73,67,72,42,950000
Pol García,"CB, LB",69,73,5000,26,2021,Spain,Left,3,2,3000000,54,32,65,62,70,69,71,22,70,65,27,59,67,66,67,64,53,54,61,67,67,49,75,70,68,37,71,70,22,59,52,66,68,70,71,7,6,7,7,6,0,1700000
A. Schiavone,"CM, CDM",69,69,19000,28,2022,Italy,Right,3,3,2500000,61,68,69,70,62,75,67,67,53,72,68,68,67,68,68,72,68,56,73,68,73,68,69,79,77,71,65,67,54,69,69,65,57,65,64,9,8,8,14,6,0,1400000
T. Lockyer,CB,69,73,7000,26,2023,Wales,Right,4,2,3300000,66,36,54,60,68,78,45,38,70,62,21,55,44,30,62,62,69,64,68,64,64,37,83,77,79,34,76,66,38,49,39,61,67,71,66,15,13,14,9,7,0,1700000
M. Caillard,GK,69,72,7000,27,2022,France,Right,3,1,2900000,50,50,50,50,50,50,13,9,13,32,8,11,15,7,27,24,48,39,34,62,45,44,54,33,80,13,25,15,7,14,18,53,8,15,9,73,64,59,70,72,44,1400000
G. Evans,"CDM, CM, CB",69,72,7000,26,2024,England,Right,3,2,3200000,62,61,64,62,68,69,58,59,67,69,56,59,64,55,73,65,59,65,66,68,62,69,70,71,68,64,67,72,57,59,48,64,68,66,64,10,9,15,13,14,0,1600000
P. Riese,"CDM, CM",69,69,5000,31,2023,Germany,Left,3,2,1500000,41,55,63,63,64,70,59,49,41,68,43,59,45,51,71,63,50,34,69,70,79,65,78,77,63,61,75,65,49,62,61,68,67,69,65,8,7,9,12,12,0,975000
R. Benatelli,"CDM, CM",69,69,9000,29,2022,Germany,Right,4,3,1900000,48,62,67,70,61,73,64,57,45,72,48,65,64,56,68,74,59,39,71,66,76,71,65,79,74,67,64,65,60,66,63,77,62,61,63,7,12,14,8,7,0,1200000
Bruno Mendes,ST,69,70,3000,26,2022,Brazil,Right,3,3,2300000,65,70,58,68,22,67,46,72,68,64,64,65,65,48,52,73,58,70,75,67,54,71,68,73,78,65,33,14,71,64,74,68,23,15,14,15,9,8,11,10,0,1700000
P. Heise,LB,69,69,7000,30,2024,Germany,Left,3,3,1900000,71,61,66,67,62,73,71,54,58,68,52,67,72,69,62,68,71,71,65,64,65,76,72,77,71,66,73,63,59,59,52,67,60,65,64,14,14,13,13,13,0,1200000
N. Neidhart,RB,69,70,6000,26,2024,Germany,Right,4,2,2400000,78,54,59,65,61,68,69,53,53,63,36,63,41,27,49,65,75,81,77,60,75,62,80,90,54,55,72,60,57,64,39,58,62,64,63,13,10,9,14,13,0,1500000
A. Chipciu,RW,69,69,9000,32,2022,Romania,Right,4,3,1500000,77,68,67,69,52,70,67,67,58,67,60,70,68,67,64,68,81,74,71,62,71,71,83,81,64,69,68,56,65,68,67,69,42,56,55,12,16,10,14,11,0,1100000
Tobias Figueiredo,CB,69,70,20000,27,2022,Portugal,Right,3,2,2800000,59,30,47,54,67,77,34,22,70,57,22,54,24,29,55,55,55,62,48,65,48,60,74,55,83,21,89,65,25,48,36,63,68,67,67,12,9,12,7,11,0,1400000
Lim Chai Min,CB,69,69,4000,30,2022,Korea Republic,Right,3,2,1400000,71,30,42,45,69,77,22,26,69,56,30,33,35,33,52,55,68,74,54,63,49,44,53,70,84,25,72,70,30,34,36,57,68,71,68,6,13,11,7,6,0,1100000
A. Farrell,CB,69,69,4000,29,2021,United States,Right,2,2,1800000,75,48,62,66,68,81,62,41,58,65,52,65,55,53,68,65,74,75,74,68,66,61,71,83,84,51,75,67,59,54,31,64,68,70,69,15,16,12,10,15,0,1200000
W. Saïd,"ST, RW, LW",69,71,14000,26,2026,France,Right,3,3,3500000,75,69,65,72,29,57,64,70,62,71,68,71,59,38,65,71,74,75,80,67,85,70,63,61,60,66,44,23,69,63,60,67,28,25,23,11,9,12,12,14,0,1700000
E. Basilio,GK,69,74,4000,26,2023,France,Right,3,1,2900000,50,50,50,50,50,50,13,13,17,29,9,17,14,18,26,28,44,49,30,67,65,49,54,26,58,19,21,21,18,23,20,22,10,14,12,70,66,65,67,69,46,1600000
T. Martínez,"RM, CAM, CM",69,70,8000,26,2021,Argentina,Left,2,3,2500000,70,62,69,72,44,51,63,55,47,75,63,71,69,59,61,71,73,67,78,66,80,67,61,59,41,71,65,39,67,71,57,75,37,55,41,9,14,15,14,16,0,1600000
J. Thiaré,ST,69,69,6000,28,2023,Senegal,Right,1,2,2500000,84,68,55,70,22,67,52,70,61,62,61,67,49,30,50,69,82,85,87,64,78,69,80,76,72,63,39,12,71,56,67,64,20,20,18,7,14,6,8,9,0,1400000
A. Mabil,"RW, LW",69,70,13000,25,2022,Australia,Right,3,3,2300000,89,60,64,69,34,55,65,63,44,66,48,67,64,59,53,68,91,87,85,60,72,69,66,70,49,47,47,35,66,67,53,64,34,33,20,16,12,18,13,12,0,1700000
D. Douline,"CDM, CM",69,69,9000,28,2023,France,Right,3,3,1700000,46,58,62,62,67,71,51,58,62,69,48,60,45,37,64,67,52,41,60,64,63,63,61,83,67,57,67,69,53,69,47,58,67,67,64,10,9,7,8,9,0,1200000
Cifu,"RB, RWB, RM",69,69,4000,30,2022,Spain,Right,3,3,1900000,79,54,58,67,64,75,65,50,55,62,33,65,59,48,55,66,78,80,72,65,75,72,85,79,72,47,73,67,66,49,57,72,68,60,65,8,10,13,6,9,0,1200000
J. Marié,"CM, CDM",69,69,3000,29,2022,France,Right,3,3,2500000,42,55,66,71,65,68,61,48,47,71,39,71,61,37,68,72,51,34,71,71,65,68,66,78,65,67,64,68,63,68,33,71,64,70,68,15,16,7,7,11,0,1400000
Arthur Caike,"LM, ST, RM",69,69,5000,29,2022,Brazil,Right,3,3,1800000,79,71,65,69,28,69,65,70,67,66,63,68,64,74,63,70,78,79,74,60,71,76,75,74,70,69,58,26,70,62,67,59,30,19,18,6,13,10,7,13,0,1400000
Joo Min Kyu,ST,69,69,4000,31,2022,Korea Republic,Right,3,3,1500000,64,73,55,64,50,79,33,77,69,65,70,60,50,40,54,68,67,62,70,60,72,74,74,82,84,69,62,59,67,64,65,69,33,58,39,14,10,11,12,16,0,1200000
S. Asamoah,"CM, CDM",69,70,6000,27,2022,Ghana,Right,3,3,2300000,74,58,67,71,65,71,65,49,52,70,59,70,60,57,70,70,75,74,75,64,85,71,71,83,65,66,71,67,63,67,48,73,66,67,63,9,11,15,14,9,0,1600000
F. Píriz,CDM,69,69,550,31,2021,Uruguay,Right,3,2,2100000,53,45,64,58,69,76,61,33,65,65,43,52,49,54,68,63,55,52,56,68,57,59,79,71,80,53,72,70,53,66,56,67,68,70,66,15,9,12,14,8,0,975000
F. Tobio,CB,69,69,6000,31,2021,Argentina,Right,2,2,1400000,58,30,53,45,67,79,59,27,68,64,36,40,39,33,65,50,54,61,33,66,38,40,82,72,82,21,80,68,40,27,36,63,67,65,66,7,8,12,14,11,0,950000
J. López,"CAM, RM",69,71,20000,26,2021,Mexico,Left,2,3,0,68,69,68,72,34,61,65,68,45,71,65,70,65,64,70,74,69,68,78,62,78,76,69,65,65,70,42,17,64,67,61,70,47,32,26,14,12,7,12,12,0,1700000
J. Rothwell,"CM, CAM",69,72,20000,26,2022,England,Right,4,3,3600000,79,61,67,74,58,65,61,61,59,71,55,76,63,50,68,70,81,78,80,67,75,59,32,79,64,64,59,57,65,68,50,65,52,62,62,14,8,13,15,9,0,1800000
K. Gorré,LW,69,70,8000,26,2023,Curacao,Right,2,3,3500000,79,67,62,70,33,61,64,66,37,63,58,71,64,60,50,70,75,83,76,68,72,72,48,66,67,68,43,36,64,68,58,54,27,36,33,7,16,8,13,10,0,1600000
A. Fletcher,ST,69,73,24000,25,2026,England,Right,2,3,4000000,73,69,44,67,29,69,23,71,74,59,53,68,44,23,38,65,67,77,75,67,56,75,71,63,73,66,65,22,68,49,52,62,17,32,23,14,8,12,8,8,0,2000000
S. Gallagher,"ST, LW, RW",69,71,20000,25,2023,England,Right,3,3,3600000,69,69,56,65,45,74,63,69,74,57,71,68,54,43,48,65,66,72,59,67,52,76,75,71,77,63,70,44,67,57,60,59,40,41,43,12,11,16,13,8,0,1800000
D. Holmes,"RW, LW, CM",69,69,6000,26,2024,United States,Right,3,3,2800000,80,58,66,73,52,48,67,56,53,69,61,71,58,48,63,70,87,74,85,68,92,58,61,67,34,60,54,55,65,68,54,65,49,52,53,8,10,12,10,9,0,1500000
S. Mosquera,"CB, RB",69,72,1000,27,2026,Colombia,Right,3,2,2300000,58,46,42,51,70,74,23,32,79,53,22,45,45,72,49,58,59,58,52,58,38,75,45,53,90,61,67,63,23,26,38,63,73,69,65,13,9,8,9,7,0,1600000
D. Mosquera,"LB, LM",69,69,2000,29,2021,Colombia,Left,2,2,1600000,77,39,59,60,64,74,66,27,61,63,23,57,27,26,56,64,73,81,65,62,57,56,73,78,73,48,72,65,55,61,39,61,64,64,66,11,8,13,16,15,0,1200000
A. Correa,"LB, LM",69,70,1000,27,2026,Colombia,Left,3,2,2100000,76,40,59,58,62,74,68,26,54,63,28,53,31,45,51,57,73,79,79,65,70,64,80,87,68,45,70,68,45,60,55,56,55,66,68,7,14,7,10,12,0,1500000
L. Pico,"CDM, CM",69,69,2000,29,2026,Colombia,Right,3,2,1600000,58,45,64,65,63,75,55,30,62,70,31,62,59,60,68,66,66,52,70,67,69,67,76,84,71,61,74,73,59,60,36,69,61,62,57,12,9,8,9,8,0,1200000
G. Celis,CDM,69,69,1000,28,2022,Colombia,Right,3,2,1600000,64,51,60,66,68,68,45,54,67,70,27,65,40,31,69,67,63,64,68,69,70,65,72,55,68,39,82,71,56,61,37,67,64,71,65,13,9,11,7,7,0,1200000
C. Vilches,CB,69,69,1000,37,2021,Chile,Right,2,2,338000,37,40,49,55,70,75,22,37,71,64,30,54,31,22,61,53,43,32,59,58,61,52,82,65,83,41,68,68,27,52,32,54,71,69,68,14,7,6,11,7,0,250000
D. Moreno,"CDM, CM",69,69,2000,29,2021,Colombia,Right,2,2,1700000,70,40,57,62,66,79,47,30,61,64,64,57,39,35,61,64,71,70,70,69,71,59,34,94,79,36,71,72,53,60,37,64,70,62,63,7,7,12,16,12,0,1200000
J. Nieto,"CM, CAM",69,69,1000,28,2026,Colombia,Right,4,3,1900000,69,65,73,69,48,72,68,64,38,76,56,66,73,67,72,72,70,68,80,65,69,65,73,79,79,67,44,42,67,75,68,66,60,50,26,11,6,14,8,11,0,1400000
C. Ayala,CDM,69,69,800,35,2021,Colombia,Right,3,3,540000,53,51,63,67,64,77,47,46,57,74,45,64,57,47,68,71,52,54,68,66,64,51,72,79,77,63,75,58,54,62,52,67,68,66,62,12,10,10,16,6,0,400000
J. Reinoso,ST,69,69,500,36,2021,Colombia,Right,3,3,1000000,74,72,47,67,29,59,25,77,70,66,65,69,36,29,54,66,75,74,74,55,60,72,59,70,66,66,29,14,66,40,66,56,40,18,18,14,7,8,15,16,0,475000
F. Díaz,"LB, CB",69,69,500,37,2021,Colombia,Left,2,3,645000,73,50,68,65,67,69,69,37,61,72,48,64,55,62,70,60,70,76,71,69,73,77,70,72,65,49,77,63,62,62,61,75,72,68,61,12,12,6,9,15,0,300000
S. Pérez,"CM, CDM",69,69,8000,28,2025,Colombia,Right,3,3,2900000,68,59,62,67,62,62,44,54,36,72,64,65,47,39,70,71,67,69,64,71,66,66,41,73,61,64,55,65,67,66,39,58,59,67,71,14,14,7,9,16,0,1400000
J. Karlström,"CDM, CM",69,72,5000,26,2024,Sweden,Right,3,2,2400000,67,54,64,66,66,81,62,51,62,67,58,66,63,59,66,65,71,63,65,66,67,58,70,85,80,59,80,66,56,61,48,64,66,67,67,11,8,10,11,16,0,1600000
M. Rodríguez,"LM, LW",69,69,7000,26,2026,Chile,Right,4,3,2900000,86,63,61,72,47,55,65,63,57,62,58,70,37,37,62,70,88,84,86,64,78,68,73,60,50,66,58,50,67,65,40,67,37,51,46,14,12,8,11,6,0,1500000
Á. Zaldívar,"ST, LM",69,70,22000,27,2024,Mexico,Left,3,3,2800000,76,67,63,70,43,70,61,65,67,66,66,70,65,45,62,70,75,77,78,64,67,72,70,73,75,65,55,35,67,64,81,63,38,43,48,8,9,11,8,15,0,1600000
I. González,GK,69,69,2000,31,2022,Chile,Right,3,1,1000000,50,50,50,50,50,50,13,11,17,28,10,14,16,11,26,16,48,48,37,65,48,46,57,41,70,11,45,20,12,18,17,61,19,15,18,70,65,61,68,73,48,750000
J. Pereyra Díaz,"RM, LM, ST",69,69,7000,30,2022,Argentina,Right,3,3,0,76,56,61,71,49,65,68,59,45,64,33,69,45,36,58,75,77,75,78,68,70,49,61,75,62,60,63,59,69,59,44,50,41,53,48,8,7,14,15,14,0,1300000
A. Hughes,"CB, LWB, LB",69,69,15000,29,2022,Wales,Left,2,2,2300000,66,36,59,60,69,74,63,35,72,63,27,55,65,71,64,64,63,68,67,68,56,38,81,76,75,35,69,70,41,42,38,59,67,69,66,15,13,13,7,10,0,1200000
F. Milo,"LB, LM, CB",69,69,6000,29,2022,Argentina,Left,2,3,1700000,79,60,64,73,63,73,67,53,67,63,49,75,71,57,59,71,74,83,77,69,73,78,83,72,71,61,77,67,69,67,41,72,59,63,61,15,9,9,11,8,0,1200000
D. Rosero,CB,69,71,2000,27,2023,Colombia,Right,2,2,2200000,63,38,52,56,68,79,52,33,73,60,42,50,44,37,55,60,54,71,65,63,63,48,89,87,82,36,60,70,43,40,49,55,65,70,66,16,6,9,8,9,0,1500000
H. Orzán,"CM, CAM",69,69,500,33,2021,Argentina,Right,3,3,1800000,84,50,68,70,58,73,63,35,65,73,43,68,56,41,69,70,82,85,76,70,77,71,63,80,72,61,69,62,61,75,46,68,50,61,60,10,8,15,15,8,0,850000
J. Garro,"LM, ST, RM",69,69,7000,28,2022,Argentina,Right,3,3,0,72,64,60,70,26,62,61,68,75,59,58,71,48,36,65,71,71,73,67,66,69,72,67,73,68,46,31,14,74,68,66,63,25,21,22,11,11,16,7,7,0,1400000
F. Cerro,"CM, CDM",69,69,6000,33,2022,Argentina,Right,3,3,1200000,67,60,65,70,65,79,55,57,59,71,57,69,71,47,71,73,66,67,69,71,65,73,76,81,77,59,81,65,56,64,49,57,63,67,69,6,15,11,11,14,0,850000
L. Melano,"RM, LM, ST",69,69,7000,28,2022,Argentina,Right,3,3,2000000,81,67,61,68,33,67,61,69,62,63,63,70,64,35,61,69,82,80,74,65,50,70,58,70,70,62,59,24,68,62,56,51,34,31,28,13,15,16,7,9,0,1400000
M. Meli,"CM, RM",69,69,9000,29,2022,Argentina,Right,3,3,2100000,74,61,66,67,66,75,59,58,64,72,55,64,62,40,63,69,67,80,73,72,72,71,79,88,68,61,74,70,66,70,49,65,62,68,62,8,16,11,7,10,0,1400000
M. Hofmann,CB,69,71,13000,27,2022,Austria,Right,3,2,2400000,61,39,51,51,68,74,34,35,71,66,31,38,38,30,64,58,54,66,65,63,69,44,90,81,69,41,74,65,64,40,37,62,68,69,70,14,13,9,15,9,0,1500000
S. Hogan,ST,69,69,12000,29,2024,Republic of Ireland,Right,3,3,2700000,80,65,52,68,30,60,48,71,68,55,63,68,60,30,53,66,81,79,71,71,67,68,52,65,64,46,44,27,72,55,65,70,23,30,23,9,6,12,8,12,0,1400000
C. Elder,LB,69,71,7000,26,2022,Australia,Left,2,2,3100000,73,41,61,63,64,68,67,36,62,62,35,63,65,63,59,62,72,74,62,62,65,54,72,80,65,38,61,64,56,55,36,60,61,67,66,12,14,11,13,11,0,1600000
A. Boljević,RW,69,71,8000,25,2023,Montenegro,Right,5,3,2700000,78,64,64,70,32,61,70,64,48,64,53,72,56,57,60,70,79,77,71,64,64,67,80,65,63,62,47,37,68,65,59,68,35,23,22,7,13,10,6,15,0,1700000
G. Engvall,"ST, RW, CAM",69,73,8000,25,2024,Sweden,Right,3,3,3200000,74,67,58,69,31,73,65,70,61,59,57,71,52,48,45,71,68,78,63,66,59,72,66,74,76,57,67,22,73,64,58,70,25,36,21,14,11,6,8,13,0,2000000
G. Rea,"CDM, CB",69,72,7000,26,2022,Republic of Ireland,Right,3,2,3100000,63,32,54,61,71,76,43,29,70,67,35,57,32,28,60,65,62,64,60,67,57,40,81,74,78,30,73,73,37,50,29,64,70,71,67,8,10,8,13,15,0,1600000
Willie,"ST, CAM",69,69,650,28,2021,Brazil,Right,4,3,3000000,85,68,61,81,35,45,53,70,53,68,55,84,65,70,64,75,82,88,92,65,91,70,49,43,45,65,44,30,67,50,70,68,38,31,29,13,15,12,9,15,0,1400000
W. Mendieta,"CAM, RM",69,69,650,32,2022,Paraguay,Right,4,3,2400000,65,68,68,70,31,62,68,67,40,70,62,71,61,59,69,71,69,62,68,67,68,70,47,59,69,70,50,25,62,70,65,58,20,40,39,16,16,9,15,15,0,1100000
R. Emond,ST,69,69,13000,29,2022,Belgium,Right,3,2,2800000,58,71,56,62,27,66,48,73,75,62,71,60,64,66,41,61,51,64,65,73,61,70,72,69,72,62,44,38,79,59,78,77,14,18,21,16,12,6,10,14,0,1400000
M. Dal Hende,"LWB, LM, LB",69,69,7000,30,2023,Denmark,Left,3,3,1500000,78,60,61,64,64,79,63,63,70,64,64,61,62,42,62,64,73,82,68,68,73,63,88,81,76,53,80,61,62,57,52,62,63,66,62,6,12,12,8,8,0,1200000
L. Dos Santos,"RWB, RB, LWB",69,69,3000,28,2022,France,Right,3,3,2300000,54,48,63,65,68,63,70,48,59,70,38,65,41,42,68,65,56,53,70,58,75,58,83,75,52,40,71,65,49,49,48,58,70,70,73,15,13,9,9,12,0,1300000
F. Carrizo,"LM, RM, ST",69,69,550,30,2021,Argentina,Right,4,4,2800000,88,62,66,69,46,64,65,55,52,70,62,70,69,70,60,62,88,88,83,68,81,73,74,73,63,65,55,58,62,65,69,71,58,31,27,8,6,7,9,7,0,1300000
G. Dewaele,"RB, RM",69,73,7000,25,2023,Belgium,Right,3,2,2700000,71,61,60,57,65,70,64,62,58,63,37,53,49,50,59,60,67,75,62,65,70,68,65,87,64,57,63,66,68,57,58,53,65,66,64,7,14,13,13,10,0,1800000
H. Cornick,"RW, ST",69,70,8000,26,2022,England,Right,3,3,3100000,86,65,58,69,36,61,63,67,62,64,58,71,42,48,45,68,85,87,70,68,68,66,44,74,67,61,33,38,68,59,58,59,35,31,24,10,6,6,9,12,0,1600000
F. Kaufmann,"RW, ST",69,69,9000,28,2023,Germany,Right,3,3,2200000,85,61,61,71,52,71,65,64,40,66,53,71,68,47,52,68,87,84,80,65,78,65,78,87,63,55,68,59,64,58,49,62,41,59,57,8,13,8,10,7,0,1400000
Marco Sangalli,"RM, CM",69,69,6000,29,2023,Spain,Right,3,3,2200000,73,72,67,68,53,65,66,70,45,67,76,67,70,65,65,68,74,73,75,66,68,74,57,82,65,76,45,57,64,67,70,74,53,56,44,15,7,9,7,12,0,1400000
Cláudio Winck,RB,69,70,5000,27,2023,Brazil,Right,3,2,3300000,65,59,61,65,67,72,75,53,64,59,47,67,72,67,41,66,64,66,62,61,62,72,71,83,67,63,69,63,64,61,47,50,68,70,67,7,14,14,9,8,0,1500000
Ö. Kristinsson,GK,69,69,500,32,2022,Iceland,Right,2,1,1500000,50,50,50,50,50,50,11,15,11,29,15,16,12,14,24,27,41,48,35,65,50,47,56,32,54,19,25,29,11,49,21,29,24,15,19,68,70,62,67,70,44,700000
H. Cummings,CB,69,70,500,29,2021,Panama,Right,3,2,2900000,53,29,51,55,67,82,40,21,65,64,28,50,28,35,58,60,62,46,56,65,55,41,74,70,91,31,77,71,31,44,38,51,68,67,62,8,15,12,13,13,0,1300000
R. Blackburn,ST,69,69,600,31,2022,Panama,Right,3,3,2600000,65,70,44,67,25,60,35,74,75,55,70,71,55,48,31,65,64,65,55,64,66,68,72,59,70,65,31,14,70,42,70,68,25,19,18,11,9,8,13,7,0,1200000
G. Sandoval,"LM, RM",69,72,20000,25,2021,Mexico,Right,4,3,0,76,63,67,69,54,54,72,65,50,67,65,70,70,59,61,66,76,76,79,64,80,65,58,70,51,59,42,55,63,67,59,60,56,53,53,12,6,11,13,9,0,1800000
D. Cerén,"CDM, CM",69,69,4000,31,2021,El Salvador,Right,3,2,1400000,47,57,63,63,66,70,52,51,49,70,46,62,42,64,72,65,44,49,53,60,78,71,31,71,71,59,77,68,57,59,64,64,67,70,66,7,14,13,15,9,0,975000
S. Nishikawa,GK,69,69,3000,35,2022,Japan,Left,3,1,195000,50,50,50,50,50,50,18,14,27,34,14,29,23,12,39,27,44,40,68,59,56,55,65,36,64,17,25,18,15,67,30,31,13,17,13,68,66,73,69,72,42,150000
A. Moutari,"RM, LM, ST",69,69,10000,27,2023,Niger,Right,4,3,2500000,88,63,60,68,49,63,66,68,45,62,41,68,70,37,62,65,93,83,77,58,81,67,60,80,58,56,57,58,70,53,43,58,55,39,48,10,13,10,13,15,0,1500000
S. Allagbé,GK,69,70,2000,27,2022,Benin,Right,2,1,0,50,50,50,50,50,50,13,15,16,25,19,16,21,18,22,23,31,28,59,56,32,50,41,28,45,19,23,22,15,64,25,61,13,14,17,69,66,67,69,73,30,1200000
R. Hedges,"RW, RM, CF",69,70,5000,25,2022,Wales,Left,3,3,3100000,82,63,63,72,39,58,67,64,50,65,51,73,59,41,54,71,80,84,77,60,68,68,62,75,58,62,36,35,63,68,54,69,38,41,36,7,12,8,9,13,0,1700000
A. Appindangoye,CB,69,69,8000,29,2023,Gabon,Right,2,2,2400000,60,45,55,53,71,76,49,44,72,61,44,51,45,39,60,49,55,64,60,58,65,55,63,74,82,35,68,72,45,55,48,56,70,70,69,6,11,10,8,8,0,1200000
Kim Min Woo,"CM, LM, LB",69,69,4000,31,2023,Korea Republic,Left,4,3,1400000,78,64,67,72,59,73,63,61,52,69,65,70,68,66,64,73,80,77,81,66,82,65,71,84,71,67,65,68,70,71,60,67,49,64,62,11,6,14,16,10,0,1100000
Cafú,"CDM, CAM",69,70,21000,28,2023,Portugal,Right,3,3,2600000,69,69,63,67,64,81,55,63,69,69,70,68,54,46,66,69,69,69,59,63,65,82,63,84,81,70,82,67,68,64,69,64,59,66,66,11,9,13,12,11,0,1300000
A. Zapata,"CAM, CM, LM",69,71,550,26,2021,Colombia,Left,3,3,3800000,77,64,65,70,31,63,60,66,36,68,52,68,64,61,64,70,82,73,80,67,74,65,65,70,64,63,50,22,68,68,62,61,25,37,43,10,14,12,6,7,0,1700000
C. Pinares,"CAM, CM, LM",69,69,7000,30,2022,Chile,Left,3,3,2500000,72,66,68,71,35,66,60,61,37,70,43,71,71,71,68,70,73,71,75,62,72,76,61,75,74,72,36,57,70,71,63,68,30,25,35,7,10,10,15,8,0,1300000
E. Palmer-Brown,CB,69,77,34000,24,2022,United States,Right,2,2,0,67,30,50,51,68,75,47,21,64,60,40,44,43,36,51,55,60,73,63,65,50,48,81,52,88,25,72,65,38,39,39,52,69,70,67,11,8,15,13,9,0,2900000
E. Ofori,"CM, CDM",69,69,5000,26,2023,Ghana,Left,2,3,1900000,69,57,66,73,63,69,58,50,39,70,59,70,65,49,69,71,72,66,88,70,89,68,75,73,64,63,76,62,64,71,50,72,65,69,69,11,7,13,11,8,0,1500000
C. Aquino,"CAM, RM, LM",69,69,550,29,2021,Argentina,Right,3,3,3000000,72,67,67,70,37,67,68,67,58,69,65,69,64,36,66,72,71,72,76,62,73,68,72,70,74,67,45,49,68,70,67,65,32,29,26,10,15,16,15,10,0,1400000
A. Barberis,"CDM, CM",69,72,2000,27,2026,Italy,Right,2,2,2700000,67,46,67,65,61,67,67,32,38,71,46,59,47,65,68,70,68,67,69,70,71,61,68,81,56,57,76,73,70,65,51,61,58,66,58,6,14,10,6,14,0,1600000
G. Piovi,"CB, LB, LWB",69,72,8000,26,2021,Argentina,Left,2,2,0,71,53,64,67,67,79,65,42,61,67,39,66,61,43,59,67,69,72,72,69,71,75,77,80,77,55,81,67,60,68,53,66,65,71,69,14,16,14,11,8,0,1600000
O. Cabral,GK,69,69,500,36,2021,Argentina,Right,3,1,323000,50,50,50,50,50,50,13,19,12,30,15,18,17,15,26,24,41,43,31,60,40,48,59,30,59,14,18,17,12,29,25,60,17,17,13,68,69,64,67,72,42,150000
Janio Bikel,"CDM, CM",69,73,4000,26,2022,Portugal,Right,2,3,2600000,70,43,56,68,66,73,39,36,52,68,42,68,39,33,57,66,71,70,82,66,67,56,63,83,66,44,82,66,49,61,44,64,66,71,65,15,10,8,16,13,0,1700000
F. Avenatti,"ST, CAM",69,69,9000,28,2022,Uruguay,Left,3,3,0,49,67,66,66,44,76,43,68,78,74,64,69,65,67,69,71,48,50,52,67,36,68,48,70,84,64,72,46,71,71,62,62,40,38,33,9,8,7,7,8,0,1400000
V. Hoff,CM,69,73,4000,25,2023,Norway,Right,3,3,2500000,69,56,67,69,67,70,63,56,59,72,44,67,60,46,68,70,67,70,74,66,80,58,82,87,66,58,57,65,64,66,47,60,69,69,62,12,16,16,8,16,0,1900000
C. Mahoney,"RW, LW",69,74,7000,24,2022,England,Left,4,3,4100000,76,63,63,72,38,47,73,65,35,59,48,75,64,59,53,70,77,76,77,63,75,64,42,63,44,66,35,40,56,68,49,55,34,40,38,10,12,10,7,10,0,2100000
P. Bochniewicz,CB,69,74,4000,25,2023,Poland,Left,2,2,2700000,37,24,52,49,70,77,29,19,68,64,24,47,31,25,65,55,33,41,32,63,35,34,72,69,86,26,68,68,23,58,28,71,71,72,67,5,12,7,6,13,0,1800000
Iván Rodríguez,"RB, LB",69,74,4000,25,2023,Spain,Right,3,2,3200000,75,50,58,65,64,66,64,46,52,63,36,65,58,31,59,66,74,76,68,64,69,60,67,81,61,57,60,65,54,47,35,58,64,66,70,11,15,9,7,6,0,1900000
